
299.616		2476050
302.752		2481780
308.363		2492180
312.736		2504360
317.11		2513310
321.814		2519050
326.27		2525150
330.561		2534110
335.182		2540920
339.308		2548090
344.506		2560270
349.375		2570310
353.171		2574260
357.709		2581070
363.651		2590750
369.427		2602220
375.863		2612970
382.218		2621940
388.489		2633050
394.878		2643960
402.148		2653640
407.191		2663880
411.907		2670710
417.933		2676410
423.566		2683820
429.657		2688950
435.814		2698060
441.054		2704040
445.573		2709170
448.782		2714010
454.219		2716870
460.769		2723140
465.916		2728280
469.919		2731230
475.066		2733050
481.045		2738480
486.295		2741430
494.925		2747330
504.751		2746690
514.733		2752810
522.948		2745410
531.682		2745450
539.792		2746380
544.368		2738290
549.775		2733800
555.322		2730760
560.529		2725380
569.48		2713160
574.784		2704840
579.776		2695620
584.091		2685730
588.407		2677410
592.151		2669310
595.635		2659870
603.145		2633200
609.171		2607470
613.629		2593900
616.518		2579960
619.408		2564600
622.545		2543150
624.526		2531720
626.591		2514560
629.81		2497050
633.113		2472380
636.004		2442000
639.142		2401950
640.547		2378710
642.447		2346890
644.348		2307200
645.011		2264290
645.921		2230670
646.748		2195990
647.245		2176680
