T (K)	Psat (Pa)	vG (m3/kg)	vL (m3/kg)	hG (J/Kg)	hL (J/Kg)	Lv (J/kg)
9.94E+01	241432	0.100267011	0.000914085	85214.3	-117385	202599.3
9.95E+01	243491	0.099480711	0.000914528	85272.6	-117211	202483.6
9.96E+01	245564	0.098703042	0.000914963	85330.8	-117037	202367.8
9.97E+01	247650	0.097931683	0.000915407	85388.9	-116863	202251.9
9.98E+01	249749	0.09716851	0.000915852	85446.8	-116689	202135.8
9.99E+01	251862	0.096412491	0.000916296	85504.5	-116515	202019.5
1.00E+02	253988	0.095664486	0.000916742	85562.1	-116341	201903.1
1.00E+02	256128	0.094922591	0.000917187	85619.6	-116167	201786.6
1.00E+02	258281	0.094188566	0.000917633	85676.8	-115993	201669.8
1.00E+02	260447	0.093461438	0.00091808	85734	-115819	201553
1.00E+02	262627	0.09274201	0.000918535	85790.9	-115645	201435.9
